track_title,artist,song_link,tempo,energy,danceability,acousticness,valence,loudness
The Feels,TWICE,https://open.spotify.com/track/1utDFK1ARQcuZSwapf3cfb,120.044,0.903,0.808,0.0899,0.922,-2.179
CRY FOR ME,TWICE,https://open.spotify.com/track/2xtP8RNbo2BEMzLX7tK7aq,144.896,0.692,0.702,0.0542,0.419,-5.405
HO!,TWICE,https://open.spotify.com/track/6d09hmOY2gDw4G3Q6ycwvs,160.009,0.895,0.766,0.105,0.974,-2.343
MOONLIGHT SUNRISE,TWICE,https://open.spotify.com/track/5NcLyVjUgG0yfwHgr5t81w,125.09,0.781,0.749,0.392,0.606,-3.265
YES or YES,TWICE,https://open.spotify.com/track/26OVhEqFDQH0Ij77QtmGP9,137.981,0.913,0.702,0.0514,0.735,-2.977
MOVE LIKE THAT (MOMO),TWICE,https://open.spotify.com/track/4EX8N1oVFMBEUG50qUwTwp,118.054,0.819,0.763,0.00812,0.442,-5.489
STONE COLD (MINA),TWICE,https://open.spotify.com/track/2sXPV7VVNXDWSZqRdzs0Wr,155.604,0.828,0.535,0.107,0.563,-5.258
DIVE IN (TZUYU),TWICE,https://open.spotify.com/track/5rCAvDn41PLMMs5Zl1FjLJ,179.799,0.797,0.715,0.303,0.868,-2.883
Confetti,MISAMO,https://open.spotify.com/track/5BSMdIyRjgYKO6U6QuT9ro,104.894,0.835,0.673,0.118,0.707,-2.679
Almond Chocolate,ILLIT,https://open.spotify.com/track/75yAymNsjxzPPNG6LiIQ9P,109.003,0.869,0.689,0.101,0.497,-4.289
MARS,TWICE,https://open.spotify.com/track/6B2WCk6chRbS7QHIeUYD1H,165.005,0.825,0.558,0.00907,0.848,-4.111
Dance The Night Away,TWICE,https://open.spotify.com/track/4DYIDSMIB5y2UmZFv9fxeX,118.089,0.861,0.709,0.106,0.779,-2.905
Gone,TWICE,https://open.spotify.com/track/0tTotZHPsxyjW3jqNJ1td2,159.886,0.799,0.716,0.327,0.836,-3.853
SOBER,BIGBANG,https://open.spotify.com/track/3gUSmSBeeYsSMWECJcQW8w,129.948,0.835,0.653,0.00738,0.537,-3.39
Run Away,TZUYU,https://open.spotify.com/track/2Ti4DCTo6Ag7QvaYex8A8B,129.984,0.892,0.761,0.0244,0.592,-2.588
POP!,NAYEON,https://open.spotify.com/track/3lOMJTQTd6J34faYwASc33,96.986,0.859,0.795,0.0361,0.356,-2.994
Doughnut,TWICE,https://open.spotify.com/track/7j0oejg8xTTDfIqCuFppZ0,82.039,0.586,0.693,0.233,0.459,-6.098
WE LIKE 2 PARTY,BIGBANG,https://open.spotify.com/track/07gp2fnoTbVCsRJYazycI4,89.952,0.916,0.666,0.0172,0.694,-3.286
"눈,코,입 (Eyes, Nose, Lips)",TAEYANG,https://open.spotify.com/track/0lYtIvI7bO51PZSeK22Mbz,143.786,0.516,0.63,0.736,0.254,-5.759
The Spins,Mac Miller,https://open.spotify.com/track/7FAFkQQZFeNwOFzTrSDFIh,127.006,0.766,0.794,0.0135,0.55,-3.894
The Less I Know The Better,Tame Impala,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ,116.879,0.74,0.64,0.0115,0.785,-4.083
Pepas,Farruko,https://open.spotify.com/track/5fwSHlTEWpluwOM0Sxnh5k,130.001,0.766,0.762,0.00776,0.442,-3.955
I Like It,Cardi B,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z,136.048,0.726,0.816,0.099,0.65,-3.998
X,Nicky Jam,https://open.spotify.com/track/5YUyW9opqNsMSEzzecZih1,179.968,0.749,0.594,0.0338,0.694,-5.298
Let's Get Loud,Jennifer Lopez,https://open.spotify.com/track/6kQz6t5z1FK4uohPh8Kd73,131.006,0.937,0.82,0.139,0.922,-4.81
Con Calma,Daddy Yankee,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m,93.989,0.86,0.737,0.11,0.656,-2.652
BIZCOCHITO,ROSALÍA,https://open.spotify.com/track/4kXxEhuatrvwrTQycA7s9B,116.972,0.774,0.93,0.605,0.781,-4.203
In Da Getto,J Balvin,https://open.spotify.com/track/1q0PYXTbDsirp2l74ng6pn,126.998,0.723,0.924,0.0177,0.643,-3.142
Gato de Noche,Ñengo Flow,https://open.spotify.com/track/54ELExv56KCAB4UP9cOCzC,93.976,0.662,0.892,0.169,0.607,-3.894
Livin' la Vida Loca,Ricky Martin,https://open.spotify.com/track/0Ph6L4l8dYUuXFmb71Ajnd,178.043,0.954,0.425,0.00414,0.933,-3.756
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,95.881,0.801,0.842,0.157,0.617,-4.167
